"{'tweet_id': '126415614616154112', 'label': 'positive', 'topic': 'apple', 'text': 'Now all @Apple has to do is get swype on the iphone and it will be crack. Iphone that is'}"
"{'tweet_id': '126315223060709376', 'label': 'positive', 'topic': 'apple', 'text': 'We\'re one of a few ""Featured Education Apps"" on the @Apple **Website** today, sweet! http://t.co/0yWvbe1Z'}"
"{'tweet_id': '126314687116750849', 'label': 'positive', 'topic': 'apple', 'text': 'We did an unexpected workshop for the #iPhone4S at @apple yesterday and we got an awesome amount of info #notjustaboutthephone @gamerchik16'}"
"{'tweet_id': '126311981564178432', 'label': 'positive', 'topic': 'apple', 'text': '---» RT @Apple No question bro. RT @AintEeenTrippin: Should I get dis iPhone or a EVO 3D?'}"
"{'tweet_id': '126307801046847488', 'label': 'positive', 'topic': 'apple', 'text': ""RT @imightbewrong: I'm OVER people bitching about the #iPhone4S... I think it's the smartest phone I've ever had and I'm very happy.   : ...""}"
"{'tweet_id': '126302673820594176', 'label': 'positive', 'topic': 'apple', 'text': ""I'm OVER people bitching about the #iPhone4S... I think it's the smartest phone I've ever had and I'm very happy.   :)  Way to go @Apple!""}"
"{'tweet_id': '126301956951117826', 'label': 'positive', 'topic': 'apple', 'text': ""@Twitter CEO points to @Apple as 'corporate mentor' as @iOS signups triple http://t.co/GCY8iphN""}"
"{'tweet_id': '126284506360578049', 'label': 'positive', 'topic': 'apple', 'text': '@azee1v1 @apple @umber AppStore is well done, so is iTunes on the mobile devices.  I was talking about desktop app.'}"
"{'tweet_id': '126263834968211456', 'label': 'positive', 'topic': 'apple', 'text': 'NYTimes: Coach Wants to See You. And Bring Your iPad. http://t.co/J2FTiEnG #iPad @apple set red 42 red 42 hut hut @NFL wish I had an #iPad'}"
"{'tweet_id': '126256230397259776', 'label': 'positive', 'topic': 'apple', 'text': '@apple @jilive @DanielPink: Apple sells 4 million iPhone 4S units in first weekend ... Steve Jobs brilliance lives on for ever! #iphone #RVA'}"
"{'tweet_id': '126195522691280896', 'label': 'positive', 'topic': 'apple', 'text': '@bkad5161 than apologize to @apple ;)'}"
"{'tweet_id': '126180209501286400', 'label': 'positive', 'topic': 'apple', 'text': 'Lmfao look at the argument I had with Siri !!\n@ijustine @apple http://t.co/D4VjL7SI'}"
"{'tweet_id': '126164430546403328', 'label': 'positive', 'topic': 'apple', 'text': 'Incredible: 4 million iPhone 4Ss in 3 days. 135% better than the iPhone 4 http://t.co/1FMJxTMM @apple #iphone4s'}"
"{'tweet_id': '126140794078892033', 'label': 'positive', 'topic': 'apple', 'text': ""Well @apple fixed my #ios5 battery drain problem with a replacement iPhone 4 -- it's working like a champ now""}"
"{'tweet_id': '126134400466419712', 'label': 'positive', 'topic': 'apple', 'text': ""Currently ordering a BRAND NEW MACBOOK PRO!!! Bahhh... my MacBook is 5 years old. I'll miss it. But it's time. cc: @Apple -""}"
"{'tweet_id': '126116898051076096', 'label': 'positive', 'topic': 'apple', 'text': '#Siri now knows who my dad, mom, brother and girlfriend is.  Thanks @apple'}"
"{'tweet_id': '126116614495154176', 'label': 'positive', 'topic': 'apple', 'text': 'Well at least the @apple store has amazing call waiting music! #need4s'}"
"{'tweet_id': '126112836219973632', 'label': 'positive', 'topic': 'apple', 'text': '#sweet... #apple replaced my glass #probono. thank you @apple'}"
"{'tweet_id': '126107965991297024', 'label': 'positive', 'topic': 'apple', 'text': 'Not Bad! @Apple Sells Over 4 Million #IPhones in Debut Weekend - Bloomberg http://t.co/AVSl3ygU - #smartphone #sm RT @VinodRad'}"
"{'tweet_id': '126104732426186752', 'label': 'positive', 'topic': 'apple', 'text': 'loving new technology from @apple iPhone 4s, mac air and iCloud are unreal #technology'}"
"{'tweet_id': '126097426493878272', 'label': 'positive', 'topic': 'apple', 'text': ""I'm loving this new IOS5 update :) @apple""}"
"{'tweet_id': '126095744531832832', 'label': 'positive', 'topic': 'apple', 'text': 'Another mention for Apple Store: http://t.co/fiIOApKt - RT @floridamike Once again getting great customer service from the @apple store ...'}"
"{'tweet_id': '126084907343691776', 'label': 'positive', 'topic': 'apple', 'text': 'Time to go get my iPhone 4s.  Looking forward to sticking it to the man by no longer paying for most texts.  Thanks @apple.'}"
"{'tweet_id': '126076238375817216', 'label': 'positive', 'topic': 'apple', 'text': '#iCloud set up was flawless and works like a champ! To the Cloud @Apple'}"
"{'tweet_id': '126075534894571520', 'label': 'positive', 'topic': 'apple', 'text': ""@Wisconsin_Mommy @Apple I'd totally email the company... I always get great service at our @Apple store!""}"
"{'tweet_id': '126063358037340161', 'label': 'positive', 'topic': 'apple', 'text': 'Once again getting great customer service from the @apple store at millenia mall.'}"
"{'tweet_id': '126059405941809152', 'label': 'positive', 'topic': 'apple', 'text': 'Is it just me or is #iOS5 faster for the iPad? @apple'}"
"{'tweet_id': '126057030996852737', 'label': 'positive', 'topic': 'apple', 'text': 'making the switch from @Android to @Apple #iphone #iphone4S #smartphone #stevejobs (@ Apple Store) http://t.co/kj6pJvkH'}"
"{'tweet_id': '126049183865114624', 'label': 'positive', 'topic': 'apple', 'text': 'So THANKFUL for the incredible people @apple for going above and beyond and offering to and replacing my  water-damaged Macbook Pro!!! Wow!'}"
"{'tweet_id': '126040074595999746', 'label': 'positive', 'topic': 'apple', 'text': 'Play on ma man. Loving the camera in the #iphone4s. Well done @apple  #fb http://t.co/tmdFqRe1'}"
"{'tweet_id': '126034495991328768', 'label': 'positive', 'topic': 'apple', 'text': 'So yeah... @apple #iOS5 #readinglists have changed my life. #nowicanspendevenmoretimeonmyphone.'}"
"{'tweet_id': '126026756623831041', 'label': 'positive', 'topic': 'apple', 'text': '@Apple Safari Reader owns the worldwide web'}"
"{'tweet_id': '126009748020658177', 'label': 'positive', 'topic': 'apple', 'text': 'Said to have laid out the next 4 years @apple.Jobs last iPhone is 2012 not the iPhone4S. iPhone(4G/5) 2012 is magical! http://t.co/DxxklUBp'}"
"{'tweet_id': '126008369562652672', 'label': 'positive', 'topic': 'apple', 'text': 'Kind of excited. On my way to my last class right now and then going to the @Apple store, so buy #MacOSC Snow Leopard and Lion :-)'}"
"{'tweet_id': '126002597063696384', 'label': 'positive', 'topic': 'apple', 'text': 'i used to be with @blackberry over 4-5yrs .. after all the disruptions and lost gigs thx to their service im moving to @apple #iphone'}"
"{'tweet_id': '125999676972470272', 'label': 'positive', 'topic': 'apple', 'text': 'Apple sells 4 million iPhones in 3 days @apple keep doing what you are doing, because you are doing it well! http://t.co/ZZc6bE0w'}"
"{'tweet_id': '125978568726560768', 'label': 'positive', 'topic': 'apple', 'text': '4 millions in a weekend, 16 #iPhone4S per second. This is madness?! no, this is @Apple !!!'}"
"{'tweet_id': '125974505385500672', 'label': 'positive', 'topic': 'apple', 'text': "".@apple you got me. I'm now invested. MacBook Pro next year. Time to get on selling more of my #android gear""}"
"{'tweet_id': '125959059957485569', 'label': 'positive', 'topic': 'apple', 'text': 'I just sent my grandma a post card using my #CardsApp thanks @Apple'}"
"{'tweet_id': '125947912306954240', 'label': 'positive', 'topic': 'apple', 'text': '@KostaTsetsekas @apple Putting it in the wash is kind of the equivalent to ""Will it blend?"" Glad to hear it\'s still alive.'}"
"{'tweet_id': '125940394566483968', 'label': 'positive', 'topic': 'apple', 'text': 'God Bless @YouTube, @apple for  #appletv & our bad ass system. LOVING #PrincessOfChina. GB to @coldplay & @rihanna too :)'}"
"{'tweet_id': '125925618486489088', 'label': 'positive', 'topic': 'apple', 'text': 'Been off twitter for a few days as I smashed my iPhone but @apple were very nice and gave me a new one :)'}"
"{'tweet_id': '125924446430183425', 'label': 'positive', 'topic': 'apple', 'text': 'Thank you @Apple iOS 5 for email pop up on the lock screen and opening it when unlocking.'}"
"{'tweet_id': '125922999651139584', 'label': 'positive', 'topic': 'apple', 'text': 'One word - #wow. RT @jldavid iPhone 4S First Weekend Sales Top Four Million: http://t.co/Zx5Pw0GT (via @apple)'}"
"{'tweet_id': '125902301931126785', 'label': 'positive', 'topic': 'apple', 'text': 'RT @MN2NOVA: Love ios5 Easter eggs. Pull down from middle top to bottom and see what pulls down. Awesome little feature! #ios5 @apple'}"
"{'tweet_id': '125901202591461376', 'label': 'positive', 'topic': 'apple', 'text': 'Love ios5 Easter eggs. Pull down from middle top to bottom and see what pulls down. Awesome little feature! #ios5 @apple'}"
"{'tweet_id': '125900497327636480', 'label': 'positive', 'topic': 'apple', 'text': 'Love #ios5 Easter eggs. Pull down from middle top to bottom and see what pulls down. Awesome little feature! @apple #lovemyiphone'}"
"{'tweet_id': '125850288488841217', 'label': 'positive', 'topic': 'apple', 'text': 'Gone for a run, beautiful morning , man do I love iOS 5 @apple, #iPhone'}"
"{'tweet_id': '125794931439702016', 'label': 'positive', 'topic': 'apple', 'text': ""I must admit @apple has made me a very happy camper! I have text tones now! Lol! Ring tone: #MakeMeProud Drakes vers! Text tone: Nicki's""}"
"{'tweet_id': '125722746100531200', 'label': 'positive', 'topic': 'apple', 'text': 'Loving the new iPod update @apple'}"
"{'tweet_id': '125717622728818688', 'label': 'positive', 'topic': 'apple', 'text': '@alexlindsay My wife upgraded her iPhone 4. I think Siri alone is worth the upgrade. Looking forward to @Apple continuing to enhance Siri.'}"
"{'tweet_id': '125713935344214016', 'label': 'positive', 'topic': 'apple', 'text': '@SteveJobs being honored tonite @Apple...A truly great loss to the world.He will so be missed'}"
"{'tweet_id': '125712433087123456', 'label': 'positive', 'topic': 'apple', 'text': 'Thx @instagram Thx @apple #hypo #D-76 #tri-x http://t.co/D7EeJHBT'}"
"{'tweet_id': '125708639607599104', 'label': 'positive', 'topic': 'apple', 'text': 'Loving my new #iPhone4S thanks @apple for #ios5'}"
"{'tweet_id': '125681742760771584', 'label': 'positive', 'topic': 'apple', 'text': '@apple Siri is amazing'}"
"{'tweet_id': '125677424565424128', 'label': 'positive', 'topic': 'apple', 'text': 'Meet #Siri, your new iPhone butler. Click the link and be amazed by all it can do: http://t.co/lvfFdCEL @Apple'}"
"{'tweet_id': '125667241978114048', 'label': 'positive', 'topic': 'apple', 'text': 'So, I am using my work PC (NEVER EVER) to get a feel for it; it has the worst speakers ever!! @apple you have spoiled me!! #imamac'}"
"{'tweet_id': '125664375364255744', 'label': 'positive', 'topic': 'apple', 'text': 'I ♥ @Apple http://t.co/a8on3IAa'}"
"{'tweet_id': '125662399217930240', 'label': 'positive', 'topic': 'apple', 'text': '@apple just got the new iOS5 upgrade with iMessage...good luck surviving now @BlackBerry'}"
"{'tweet_id': '125652668080336896', 'label': 'positive', 'topic': 'apple', 'text': 'Loving #iOS5 !! #awesome @Apple'}"
"{'tweet_id': '125648027045199873', 'label': 'positive', 'topic': 'apple', 'text': 'RT @MattyRiesz: @kathrynyee You were right, an iPhone is a must have. #addicted {WELCOME TO THE @APPLE CLUB}'}"
"{'tweet_id': '125643107260829697', 'label': 'positive', 'topic': 'apple', 'text': '@blackberry boo hiss!............@apple wuhu!!!!!!!! When will my berry powered technology actually work??'}"
"{'tweet_id': '125628199269961729', 'label': 'positive', 'topic': 'apple', 'text': ""@Apple's Siri is witchcraft.  What's next @googleresearch. 2 yr lead lost?""}"
"{'tweet_id': '125623745284018176', 'label': 'positive', 'topic': 'apple', 'text': '@Apple iOS 5 is sweet! Notifications, phone search covers mail now, wifi sync, iCloud backup and integrated Twitter are all well done.'}"
"{'tweet_id': '125618466353983488', 'label': 'positive', 'topic': 'apple', 'text': ""RT @katebetts: Another great James Stewart story in today's NY Times about importance of architecture in @apple retail success http://t. ...""}"
"{'tweet_id': '125610372727193601', 'label': 'positive', 'topic': 'apple', 'text': ""Another great James Stewart story in today's NY Times about importance of architecture in @apple retail success http://t.co/Kniz452s""}"
"{'tweet_id': '125608381431025664', 'label': 'positive', 'topic': 'apple', 'text': 'I &lt;3 @apple http://t.co/ondXWpEr'}"
"{'tweet_id': '125596541028282369', 'label': 'positive', 'topic': 'apple', 'text': 'Welcome to the twitter world @MarkStuver. This is due to #iOS5 and @apple thanks guys.'}"
"{'tweet_id': '125585606100267008', 'label': 'positive', 'topic': 'apple', 'text': 'Impressive service @apple genius bar metro centre. Power cable replaced free n booked in for screen replacement for free :- D'}"
"{'tweet_id': '125562428200202240', 'label': 'positive', 'topic': 'apple', 'text': 'RT @deb_lavoy: the nice guy at the @apple store replaced my phone gratis when I showed him the hairline  crack on the screen. thanks @apple'}"
"{'tweet_id': '125561950376701952', 'label': 'positive', 'topic': 'apple', 'text': 'the nice guy at the @apple store replaced my phone gratis when I showed him the hairline  crack on the screen. thanks @apple'}"
"{'tweet_id': '125550135911518209', 'label': 'positive', 'topic': 'apple', 'text': ""My iPhone 4S battery lasted longer than a day. That hasn't happened since my edge iPhone. Nice job, @apple.""}"
"{'tweet_id': '125547297072357376', 'label': 'positive', 'topic': 'apple', 'text': 'It would have taken me 15 mins to write this with my #Blackberry. Thank u @Apple 4s for converting me and showing me the grass is greener!'}"
"{'tweet_id': '125539788546781185', 'label': 'positive', 'topic': 'apple', 'text': 'RT @herahussain: @RickySinghPT got a new backside for my eye phone! V impressed with @apple'}"
"{'tweet_id': '125537993942515712', 'label': 'positive', 'topic': 'apple', 'text': '@RickySinghPT got a new backside for my eye phone! V impressed with @apple'}"
"{'tweet_id': '125524107386302465', 'label': 'positive', 'topic': 'apple', 'text': 'Thank you @apple for making my iPad 2 feel like new again with your new iOS 5!'}"
"{'tweet_id': '125501576952553472', 'label': 'positive', 'topic': 'apple', 'text': ""Using my awsome iPad... I love it. I love my MacBook too and my iPod. It's all amazing! I love @apple""}"
"{'tweet_id': '125501281753251840', 'label': 'positive', 'topic': 'apple', 'text': '@apple iOS 5 upgrade done ...... Much better feature..... Few more feature required'}"
"{'tweet_id': '125459338524499969', 'label': 'positive', 'topic': 'apple', 'text': 'Finally got my iPhone 4S, thanks @Apple. Stupid @att. Learned my lesson.'}"
"{'tweet_id': '125423290767507456', 'label': 'positive', 'topic': 'apple', 'text': ""@apple - you have invented a product that actually gets my brother to call my parents when he gets where he's going. Amazing. #siri #ipod4s""}"
"{'tweet_id': '125407532893224962', 'label': 'positive', 'topic': 'apple', 'text': ""Create new folders from within your photo album in #iOS5, finally!! Thanks @Apple, that's been a thorn in my side for a while. #newfeature""}"
"{'tweet_id': '125402412147146752', 'label': 'positive', 'topic': 'apple', 'text': '@Blackberry & @Facebook U R really about to make me throw this @Blackberry in the trash an get an @Apple iPhone! @Facebook upload issues!'}"
"{'tweet_id': '125393816470568961', 'label': 'positive', 'topic': 'apple', 'text': '#iOS5 update submitted to @apple! Thanks for all the support!'}"
"{'tweet_id': '125374540107886593', 'label': 'positive', 'topic': 'apple', 'text': ""I'm amazed at how siri has changed the way I use my phone. I had no idea it would be this good, and it's still in beta. Good job @apple. Wow""}"
"{'tweet_id': '125356807626559488', 'label': 'positive', 'topic': 'apple', 'text': 'Awesome service from the @apple store in pc. Thanks chris!'}"
"{'tweet_id': '125333598197911552', 'label': 'positive', 'topic': 'apple', 'text': '.@apple thanks for fixing this... http://t.co/wTj1ogDO'}"
"{'tweet_id': '125313088160411649', 'label': 'positive', 'topic': 'apple', 'text': '@apple has changed life.'}"
"{'tweet_id': '125309946723188736', 'label': 'positive', 'topic': 'apple', 'text': ""Mad props to the @apple employee that didn't charge me to replace the back plate on my iPhone! Made my day!""}"
"{'tweet_id': '125279987254300672', 'label': 'positive', 'topic': 'apple', 'text': ""The #iphone4s is  amazing. Siri's voice recognition is absolutely a step above previous attempts. Bravo @apple""}"
"{'tweet_id': '125256305647693825', 'label': 'positive', 'topic': 'apple', 'text': '#iOs5 is nice and as it had to be ! Thanks @Apple'}"
"{'tweet_id': '125252188065902592', 'label': 'positive', 'topic': 'apple', 'text': 'Good support fm Kevin @apple #Bellevue store 4 biz customers TY!'}"
"{'tweet_id': '125238017299451905', 'label': 'positive', 'topic': 'apple', 'text': ""@Apple: Siri is amazing!!! I'm in love!""}"
"{'tweet_id': '125165176772247552', 'label': 'positive', 'topic': 'apple', 'text': 'Love love love iOS 5!! @apple'}"
"{'tweet_id': '126418790706712576', 'label': 'negative', 'topic': 'apple', 'text': 'RT @cjwallace03: So apparently @apple put MB cap on your SMS with the new update. 25mb storage before it tells you your inbox is full. W ...'}"
"{'tweet_id': '126417285559762944', 'label': 'negative', 'topic': 'apple', 'text': 'RT @Jewelz2611 @mashable @apple, iphones r 2 expensive. Most went w/ htc/galaxy. No customer loyalty w/phone comp..'}"
"{'tweet_id': '126416915664084992', 'label': 'negative', 'topic': 'apple', 'text': '@mashable @apple, iphones r 2 expensive. Most went w/ htc/galaxy. No customer loyalty w/phone comp..'}"
"{'tweet_id': '126411162622496768', 'label': 'negative', 'topic': 'apple', 'text': '@apple why my tunes no go on my iPhone? iPhone lonely without them. silly #iOS5'}"
"{'tweet_id': '126410591949697024', 'label': 'negative', 'topic': 'apple', 'text': '@apple needs to hurry up and release #iTunesMatch'}"
"{'tweet_id': '126409696553861121', 'label': 'negative', 'topic': 'apple', 'text': 'Why is  #Siri always down @apple'}"
"{'tweet_id': '126408864387182593', 'label': 'negative', 'topic': 'apple', 'text': 'I just need to exchange a cord at the apple store why do I have to wait for a genius? @apple'}"
"{'tweet_id': '126408052525105153', 'label': 'negative', 'topic': 'apple', 'text': '@apple AirDrop #fail - Immediate ""declined your request."" every time'}"
"{'tweet_id': '126405405667627008', 'label': 'negative', 'topic': 'apple', 'text': 'RT @radlerc: Yellowgate? Some iPhone 4S Users Complain of Yellow Tint to Screen http://t.co/uaqrxTNk @apple @iphone4s'}"
"{'tweet_id': '126405185630253056', 'label': 'negative', 'topic': 'apple', 'text': 'Yellowgate? Some iPhone 4S Users Complain of Yellow Tint to Screen http://t.co/uaqrxTNk @apple @iphone4s'}"
"{'tweet_id': '126405040809312256', 'label': 'negative', 'topic': 'apple', 'text': 'The one #iphone feature still missing since @apple first showed it.. Contacts pictures on the contacts list! Simple yet 5 major updates miss'}"
"{'tweet_id': '126400637930979329', 'label': 'negative', 'topic': 'apple', 'text': ""Asked siri is she dreams of electric sleep. Was disappointed that she didn't have a snippy answer.  Missed opportunity @apple""}"
"{'tweet_id': '126393204550537216', 'label': 'negative', 'topic': 'apple', 'text': 'FUCK YOU @apple DIE IN A FUCKING BLAZE INFERNO.'}"
"{'tweet_id': '126392402083708928', 'label': 'negative', 'topic': 'apple', 'text': ""Oh, @apple. Steve obviously had nothing to do with iPhoto, as it's the perfect opposite of 'insanely great'. Get it fixed, please.""}"
"{'tweet_id': '126385036441296896', 'label': 'negative', 'topic': 'apple', 'text': 'shit, shit, shit. IOS5 update ate all my apps, data and media just like @apple said it would. This is going to take some time to rebuild.'}"
"{'tweet_id': '126382051661328385', 'label': 'negative', 'topic': 'apple', 'text': 'Love @apple downloads. 4 hours and i-pad now wonky! #ripstevejobs #thenonsensepersists #neednewipadguide #fatfuckingchance'}"
"{'tweet_id': '126381519513194497', 'label': 'negative', 'topic': 'apple', 'text': 'Dear @apple My new Air is now a notbook since your update killed #wifi #bug #destroying #productivity'}"
"{'tweet_id': '126377298650861568', 'label': 'negative', 'topic': 'apple', 'text': ""@apple thank you for ruining my 3GS with #iOS5. You've just turned my phone into an utterly useless pile of shit.""}"
"{'tweet_id': '126375381249966080', 'label': 'negative', 'topic': 'apple', 'text': '@rogerweir no but I have the option of a  replacement iPhone 4s ?\nNot sure if I want one after having 2 duff iPhones.\n@O2 @iphone4s @apple'}"
"{'tweet_id': '126372694118768640', 'label': 'negative', 'topic': 'apple', 'text': 'So apparently @apple put MB cap on your SMS with the new update. 25mb storage before it tells you your inbox is full. What is this 2001?'}"
"{'tweet_id': '126372040696541184', 'label': 'negative', 'topic': 'apple', 'text': ""You know @apple It's been almost a week since I paid for iTunes Match, I would really like to use it. Any ETA on a fix?""}"
"{'tweet_id': '126363154837020672', 'label': 'negative', 'topic': 'apple', 'text': 'removing all @apple shit.'}"
"{'tweet_id': '126361483432038400', 'label': 'negative', 'topic': 'apple', 'text': ""So @PhoenixSwinger 's iPhone 4 is giving her a hella hard time w/ the iOS5 update @apple""}"
"{'tweet_id': '126358301393956866', 'label': 'negative', 'topic': 'apple', 'text': ""@Apple can't send me an iPhone preordered 1hr after launching but they cans send 5 or 10 to all the jackasses who want to shoot or blend 'em""}"
"{'tweet_id': '126358272084152320', 'label': 'negative', 'topic': 'apple', 'text': 'Gotta say the @Apple itouch iphone shuffle etc.. sound quality is AWFUL.. painfully crap. Its been a downgrade from @Sony sound quality wise'}"
"{'tweet_id': '126357580741226496', 'label': 'negative', 'topic': 'apple', 'text': ""@bisquiat @Apple the upgrade just slows down my phone so much, it's stuck half the time. uch. thankfully no other damage. sucks for you :(""}"
"{'tweet_id': '126357227727626240', 'label': 'negative', 'topic': 'apple', 'text': ""@Mayati I think @Apple didn't do such a thorough job with the step x steps for upgrade and move to iCloud. Now it's cost me mightily.""}"
"{'tweet_id': '126354628999778305', 'label': 'negative', 'topic': 'apple', 'text': ""Hey @apple now I have iOS5 my iPhone doesn't include songs that are on compilation albums under the artist's name. #whaddupwitdat""}"
"{'tweet_id': '126351972948393984', 'label': 'negative', 'topic': 'apple', 'text': '@NickTheFNicon He can send but not rcve txts so he has an apt @apple at 4pm.Then he exclaims: And I waited a whole YEAR for this phone!!LMAO'}"
"{'tweet_id': '126348169826148352', 'label': 'negative', 'topic': 'apple', 'text': ""Total chaos at @apple store regent street. Like an Ethiopian feeding station. Can't believe this is same co. that makes all that cool shit.""}"
"{'tweet_id': '126344426854416385', 'label': 'negative', 'topic': 'apple', 'text': '@FishMama: If you made a purchase, just wait for the @apple survey! hate going b/c of the bad #custserv'}"
"{'tweet_id': '126343214805426176', 'label': 'negative', 'topic': 'apple', 'text': 'Would it kill @apple to put a braille type bump on their earbuds so we know which bud is R and L in the dark.'}"
"{'tweet_id': '126334597431697408', 'label': 'negative', 'topic': 'apple', 'text': '@APPLE Wow @MOTOROLA Just crushed your dreams....'}"
"{'tweet_id': '126331327271284736', 'label': 'negative', 'topic': 'apple', 'text': 'Oh, just fuck you, @apple. Already?? ---&gt;  iPhone 5 on schedule for summer launch? http://t.co/Ofh9PTaG via @BGR'}"
"{'tweet_id': '126327808803880960', 'label': 'negative', 'topic': 'apple', 'text': ""@apple, \nNo, I won't wait until thursday for an available appointment just so a 'genius' can tell me I'm shit out of luck. #now""}"
"{'tweet_id': '126324573384871936', 'label': 'negative', 'topic': 'apple', 'text': ""@Apple, on the #iPad with #iOS5, why has the Messages Icon been included when it can't be used?""}"
"{'tweet_id': '126324389741473792', 'label': 'negative', 'topic': 'apple', 'text': '@Steelo254 yea! I pre-order through @apple and they sorry too just like #AT&T'}"
"{'tweet_id': '126324077513293824', 'label': 'negative', 'topic': 'apple', 'text': 'Interesting... @apple now requires you to have a reservation ?         #apple #iphone #4S    :  http://t.co/zZK4fTii'}"
"{'tweet_id': '126321169468100609', 'label': 'negative', 'topic': 'apple', 'text': '@apple why is my iPhone battery so crappy #fail'}"
"{'tweet_id': '126320033369563138', 'label': 'negative', 'topic': 'apple', 'text': 'My @Apple @macbook keyboard will not type :('}"
"{'tweet_id': '126310645443461121', 'label': 'negative', 'topic': 'apple', 'text': ""Why doesn't @apple iCloud sync Stickies? They've always been around, just nothing every progressed w/ them!! Why apple why?  @gruber""}"
"{'tweet_id': '126309616391950336', 'label': 'negative', 'topic': 'apple', 'text': '@apple, your new ""Save a Version"" function in Pages is absolutely the most awful, interrupting, counter-intuitive piece of crap in the world'}"
"{'tweet_id': '126307071984545793', 'label': 'negative', 'topic': 'apple', 'text': 'I hate my @apple computer.  Thats 3500 dollars down the drain.'}"
"{'tweet_id': '126302386644975616', 'label': 'negative', 'topic': 'apple', 'text': '@apple my iPhone is charging very slowly!!!!!'}"
"{'tweet_id': '126297326565330944', 'label': 'negative', 'topic': 'apple', 'text': ""@apple Wish I could pick month, day, and YEAR when setting a new calendar item on my iPhone. Why hasn't the new iOS fixed this yet?!""}"
"{'tweet_id': '126292335540699136', 'label': 'negative', 'topic': 'apple', 'text': '@Apple iTunes is the worst program ever. For such a great phone, you make some awful software.'}"
"{'tweet_id': '126286814578348032', 'label': 'negative', 'topic': 'apple', 'text': 'One would think the voice recognition on the @apple tech support line would work a little better.'}"
"{'tweet_id': '126283602571964416', 'label': 'negative', 'topic': 'apple', 'text': ""@apple $319 to repair my iPad 2, Apple you've lost me and my $700 a year, Android here I come!""}"
"{'tweet_id': '126281019476291585', 'label': 'negative', 'topic': 'apple', 'text': '@azee1v1 @apple @umber Proper consolidation, proper syncing, stop losing my PURCHASED items, checkboxes that do what you think they will do.'}"
"{'tweet_id': '126280555980529664', 'label': 'negative', 'topic': 'apple', 'text': '@AsimRang @apple @umber the desktop app is wack though'}"
"{'tweet_id': '126279811151831042', 'label': 'negative', 'topic': 'apple', 'text': 'I made a reservation and yet I still have to wait in line. Humpt! Oh @apple (@ Apple Store w/ 2 others) http://t.co/JZmVBdNm'}"
